date,value,inverted_pct
1994-07-01,148.4,0.0067385444743935305
1994-08-01,149.0,0.006711409395973154
1994-09-01,149.3,0.006697923643670461
1994-10-01,149.4,0.006693440428380187
1994-11-01,149.8,0.006675567423230974
1994-12-01,150.1,0.006662225183211193
1995-01-01,150.5,0.006644518272425249
1995-02-01,150.9,0.0066269052352551355
1995-03-01,151.2,0.006613756613756614
1995-04-01,151.8,0.006587615283267457
1995-05-01,152.1,0.006574621959237344
1995-06-01,152.4,0.006561679790026247
1995-07-01,152.6,0.006553079947575361
1995-08-01,152.9,0.006540222367560497
1995-09-01,153.1,0.006531678641410843
1995-10-01,153.5,0.006514657980456026
1995-11-01,153.7,0.0065061808718282375
1995-12-01,153.9,0.00649772579597141
1996-01-01,154.7,0.006464124111182935
1996-02-01,155.0,0.0064516129032258064
1996-03-01,155.5,0.006430868167202572
1996-04-01,156.1,0.0064061499039077515
1996-05-01,156.4,0.00639386189258312
1996-06-01,156.7,0.006381620931716656
1996-07-01,157.0,0.006369426751592357
1996-08-01,157.2,0.0063613231552162855
1996-09-01,157.7,0.0063411540900443885
1996-10-01,158.2,0.006321112515802782
1996-11-01,158.7,0.0063011972274732205
1996-12-01,159.1,0.006285355122564425
1997-01-01,159.4,0.006273525721455458
1997-02-01,159.7,0.006261740763932374
1997-03-01,159.8,0.006257822277847309
1997-04-01,159.9,0.006253908692933083
1997-05-01,159.9,0.006253908692933083
1997-06-01,160.2,0.006242197253433209
1997-07-01,160.4,0.006234413965087281
1997-08-01,160.8,0.006218905472636815
1997-09-01,161.2,0.00620347394540943
1997-10-01,161.5,0.006191950464396285
1997-11-01,161.7,0.006184291898577613
1997-12-01,161.8,0.006180469715698393
1998-01-01,162.0,0.006172839506172839
1998-02-01,162.0,0.006172839506172839
1998-03-01,162.0,0.006172839506172839
1998-04-01,162.2,0.006165228113440197
1998-05-01,162.6,0.006150061500615006
1998-06-01,162.8,0.006142506142506142
1998-07-01,163.2,0.006127450980392158
1998-08-01,163.4,0.006119951040391676
1998-09-01,163.5,0.0061162079510703364
1998-10-01,163.9,0.0061012812690665035
1998-11-01,164.1,0.006093845216331505
1998-12-01,164.4,0.00608272506082725
1999-01-01,164.7,0.0060716454159077116
1999-02-01,164.7,0.0060716454159077116
1999-03-01,164.8,0.006067961165048544
1999-04-01,165.9,0.006027727546714888
1999-05-01,166.0,0.006024096385542169
1999-06-01,166.0,0.006024096385542169
1999-07-01,166.7,0.00599880023995201
1999-08-01,167.1,0.005984440454817475
1999-09-01,167.8,0.0059594755661501785
1999-10-01,168.1,0.005948839976204641
1999-11-01,168.4,0.0059382422802850355
1999-12-01,168.8,0.005924170616113744
