date,value,homes_per_10k
1985-04-01,84300,0.11862396204033215
1985-07-01,83200,0.1201923076923077
1985-10-01,86800,0.1152073732718894
1986-01-01,88000,0.11363636363636363
1986-04-01,92100,0.10857763300760044
1986-07-01,93000,0.10752688172043011
1986-10-01,95000,0.10526315789473684
1987-01-01,97900,0.10214504596527069
1987-04-01,103400,0.09671179883945841
1987-07-01,106000,0.09433962264150944
1987-10-01,111500,0.08968609865470852
1988-01-01,110000,0.09090909090909091
1988-04-01,110000,0.09090909090909091
1988-07-01,115000,0.08695652173913043
1988-10-01,113900,0.08779631255487269
1989-01-01,118000,0.0847457627118644
1989-04-01,118900,0.08410428931875526
1989-07-01,120000,0.08333333333333333
1989-10-01,124800,0.08012820512820513
1990-01-01,123900,0.08071025020177562
1990-04-01,126800,0.07886435331230283
1990-07-01,117000,0.08547008547008547
1990-10-01,121500,0.0823045267489712
1991-01-01,120000,0.08333333333333333
1991-04-01,119900,0.08340283569641367
1991-07-01,120000,0.08333333333333333
1991-10-01,120000,0.08333333333333333
1992-01-01,119500,0.08368200836820083
1992-04-01,120000,0.08333333333333333
1992-07-01,120000,0.08333333333333333
1992-10-01,126000,0.07936507936507936
1993-01-01,125000,0.08
1993-04-01,127000,0.07874015748031496
1993-07-01,127000,0.07874015748031496
1993-10-01,127000,0.07874015748031496
1994-01-01,130000,0.07692307692307693
1994-04-01,130000,0.07692307692307693
1994-07-01,129700,0.07710100231303008
1994-10-01,132000,0.07575757575757576
1995-01-01,130000,0.07692307692307693
1995-04-01,133900,0.07468259895444361
1995-07-01,132000,0.07575757575757576
1995-10-01,138000,0.07246376811594203
1996-01-01,137000,0.072992700729927
1996-04-01,139900,0.07147962830593281
1996-07-01,140000,0.07142857142857142
1996-10-01,144100,0.06939625260235947
1997-01-01,145000,0.06896551724137931
1997-04-01,145800,0.06858710562414266
1997-07-01,145000,0.06896551724137931
1997-10-01,144200,0.06934812760055478
1998-01-01,152200,0.0657030223390276
1998-04-01,149500,0.06688963210702341
1998-07-01,153000,0.06535947712418301
1998-10-01,153000,0.06535947712418301
1999-01-01,157400,0.06353240152477764
1999-04-01,158700,0.0630119722747322
1999-07-01,159100,0.06285355122564425
1999-10-01,165300,0.060496067755595885
2000-01-01,165300,0.060496067755595885
2000-04-01,163200,0.061274509803921566
2000-07-01,168800,0.05924170616113744
2000-10-01,172900,0.0578368999421631
2001-01-01,169800,0.05889281507656066
